"Description","Coverage [%]","# Peptides","Found in Sample: [S4] F4: Sample, w/o sm, w/o Rs, none","Found in Sample: [S10] F10: Sample, w/o sm, w/o Rs, none","Found in Sample: [S12] F12: Sample, w/o sm, w/o Rs, none","Found in Sample: [S14] F14: Sample, w/o sm, w/o Rs, none","Found in Sample: [S16] F16: Sample, w/o sm, w/o Rs, none","Found in Sample: [S24] F24: Sample, w/o sm, w/o Rs, none","Found in Sample: [S27] F27: Sample, w/o sm, w/o Rs, none","Found in Sample: [S28] F28: Sample, w/o sm, w/o Rs, none","Found in Sample: [S53] F53: Sample, w/o sm, w/o Rs, none","Found in Sample: [S38] F38: Sample, w/o sm, with Rs, heavy","Found in Sample: [S39] F39: Sample, w/o sm, with Rs, heavy","Found in Sample: [S40] F40: Sample, w/o sm, with Rs, heavy","Found in Sample: [S41] F41: Sample, w/o sm, with Rs, heavy","Found in Sample: [S42] F42: Sample, w/o sm, with Rs, heavy","Found in Sample: [S44] F44: Sample, w/o sm, with Rs, heavy","Found in Sample: [S47] F47: Sample, w/o sm, with Rs, heavy","Found in Sample: [S48] F48: Sample, w/o sm, with Rs, heavy","Found in Sample: [S49] F49: Sample, w/o sm, with Rs, heavy","Found in Sample: [S5] F5: Sample, w/o sm, with Rs, light","Found in Sample: [S7] F7: Sample, w/o sm, with Rs, light","Found in Sample: [S9] F9: Sample, w/o sm, with Rs, light","Found in Sample: [S11] F11: Sample, w/o sm, with Rs, light","Found in Sample: [S13] F13: Sample, w/o sm, with Rs, light","Found in Sample: [S17] F17: Sample, w/o sm, with Rs, light","Found in Sample: [S23] F23: Sample, w/o sm, with Rs, light","Found in Sample: [S26] F26: Sample, w/o sm, with Rs, light","Found in Sample: [S29] F29: Sample, w/o sm, with Rs, light","Found in Sample: [S6] F6: Sample, with sm, w/o Rs, none","Found in Sample: [S8] F8: Sample, with sm, w/o Rs, none","Found in Sample: [S19] F19: Sample, with sm, w/o Rs, none","Found in Sample: [S20] F20: Sample, with sm, w/o Rs, none","Found in Sample: [S21] F21: Sample, with sm, w/o Rs, none","Found in Sample: [S25] F25: Sample, with sm, w/o Rs, none","Found in Sample: [S31] F31: Sample, with sm, w/o Rs, none","Found in Sample: [S33] F33: Sample, with sm, w/o Rs, none","Found in Sample: [S54] F54: Sample, with sm, w/o Rs, none","Found in Sample: [S35] F35: Sample, with sm, with Rs, heavy","Found in Sample: [S36] F36: Sample, with sm, with Rs, heavy","Found in Sample: [S37] F37: Sample, with sm, with Rs, heavy","Found in Sample: [S43] F43: Sample, with sm, with Rs, heavy","Found in Sample: [S45] F45: Sample, with sm, with Rs, heavy","Found in Sample: [S46] F46: Sample, with sm, with Rs, heavy","Found in Sample: [S50] F50: Sample, with sm, with Rs, heavy","Found in Sample: [S51] F51: Sample, with sm, with Rs, heavy","Found in Sample: [S52] F52: Sample, with sm, with Rs, heavy","Found in Sample: [S1] F1: Sample, with sm, with Rs, light","Found in Sample: [S2] F2: Sample, with sm, with Rs, light","Found in Sample: [S3] F3: Sample, with sm, with Rs, light","Found in Sample: [S15] F15: Sample, with sm, with Rs, light","Found in Sample: [S18] F18: Sample, with sm, with Rs, light","Found in Sample: [S22] F22: Sample, with sm, with Rs, light","Found in Sample: [S30] F30: Sample, with sm, with Rs, light","Found in Sample: [S32] F32: Sample, with sm, with Rs, light","Found in Sample: [S34] F34: Sample, with sm, with Rs, light"
"swissprot: Carbon catabolite repressor protein 4 homolog 4 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:8:31819460:31821616:-1 gene:gene-LSAT_8X24940 transcript:rna-gnl|WGS:NBSK|LSAT_8X24940_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",3,1,"Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Not Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Peak Found"
"original description: pep primary_assembly:Lsat_Salinas_v7:6:13748003:13751182:-1 gene:gene-LSAT_6X11921 transcript:rna-gnl|WGS:NBSK|LSAT_6X11921_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",1,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","High","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found"
"swissprot: Gamma-interferon-responsive lysosomal thiol protein OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:5:316853107:316854942:-1 gene:gene-LSAT_5X174401 transcript:rna-gnl|WGS:NBSK|LSAT_5X174401_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",3,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"swissprot: Protein BOBBER 1 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:9:69316154:69318264:-1 gene:gene-LSAT_9X56360 transcript:rna-gnl|WGS:NBSK|LSAT_9X56360_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",2,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Not Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found"
"original description: pep primary_assembly:Lsat_Salinas_v7:5:139682240:139691689:1 gene:gene-LSAT_5X61021 transcript:rna-gnl|WGS:NBSK|LSAT_5X61021_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",1,1,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"swissprot: WRKY transcription factor 44 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:2:188251381:188253360:1 gene:gene-LSAT_2X110080 transcript:rna-gnl|WGS:NBSK|LSAT_2X110080_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",3,1,"Peak Found","High","High","High","Peak Found","High","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","High","High","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","High","High","Not Found","High","High"
"original description: pep primary_assembly:Lsat_Salinas_v7:6:31732321:31732911:-1 gene:gene-LSAT_6X24180 transcript:rna-gnl|WGS:NBSK|LSAT_6X24180_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",19,1,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"swissprot: Metalloendoproteinase 3-MMP OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:4:10886480:10887707:-1 gene:gene-LSAT_4X6101 transcript:rna-gnl|WGS:NBSK|LSAT_4X6101_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",3,1,"Peak Found","Peak Found","Not Found","Not Found","Peak Found","Not Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Peak Found","High","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Not Found","Peak Found","High","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Not Found","Peak Found","High","Peak Found"
"swissprot: TIP41-like protein OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:5:233740817:233745583:-1 gene:gene-LSAT_5X116421 transcript:rna-gnl|WGS:NBSK|LSAT_5X116421_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:TIP41-like protein [Source:Projected from Arabidopsis thaliana (AT4G34270) UniProtKB/Swiss-Prot;Acc:Q8VXY4]",4,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High"
"swissprot: Pentatricopeptide repeat-containing protein At4g16470 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:6:93836891:93839842:-1 gene:gene-LSAT_6X62421 transcript:rna-gnl|WGS:NBSK|LSAT_6X62421_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",2,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Not Found","High","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"original description: pep primary_assembly:Lsat_Salinas_v7:2:200339637:200340405:-1 gene:gene-LSAT_2X121221 transcript:rna-gnl|WGS:NBSK|LSAT_2X121221_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",9,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","High","High","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","High"
"original description: pep primary_assembly:Lsat_Salinas_v7:2:31247485:31257420:1 gene:gene-LSAT_2X16061 transcript:rna-gnl|WGS:NBSK|LSAT_2X16061_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",2,1,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","High"
"swissprot: Protein VAPYRIN OS=Medicago truncatula  | original description: pep primary_assembly:Lsat_Salinas_v7:8:255562756:255566210:1 gene:gene-LSAT_8X149580 transcript:rna-gnl|WGS:NBSK|LSAT_8X149580_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",1,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found"
"swissprot: D-amino-acid transaminase, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:5:71125196:71127487:-1 gene:gene-LSAT_5X33400 transcript:rna-gnl|WGS:NBSK|LSAT_5X33400_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",3,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found"
"swissprot: 14 kDa proline-rich protein DC2.15 OS=Daucus carota  | original description: pep primary_assembly:Lsat_Salinas_v7:6:27395681:27396064:1 gene:gene-LSAT_6X21140 transcript:rna-gnl|WGS:NBSK|LSAT_6X21140_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",8,1,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"swissprot: Protein SULFUR DEFICIENCY-INDUCED 1 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:9:14731061:14733560:1 gene:gene-LSAT_9X12580 transcript:rna-gnl|WGS:NBSK|LSAT_9X12580_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",3,1,"Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","High","Not Found","Peak Found","Peak Found"
"swissprot: Eukaryotic translation initiation factor 6-2 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:3:92907607:92909816:1 gene:gene-LSAT_3X68941 transcript:rna-gnl|WGS:NBSK|LSAT_3X68941_mrna gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:EIF6 description:eukaryotic translation initiation factor 6 [Source:UniProtKB Gene Name;Acc:A0A9R1W2G5]",4,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found"
"swissprot: Butanoate--CoA ligase AAE1 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:2:10407890:10410339:1 gene:gene-LSAT_2X4080 transcript:rna-gnl|WGS:NBSK|LSAT_2X4080_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:Probable acyl-activating enzyme 1, peroxisomal [Source:Projected from Arabidopsis thaliana (AT1G20560) UniProtKB/Swiss-Prot;Acc:F4HUK6]",1,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found"
"swissprot: Protein kinase STUNTED OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:1:8900996:8904711:1 gene:gene-LSAT_1X7980 transcript:rna-gnl|WGS:NBSK|LSAT_1X7980_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",2,1,"Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Not Found","Peak Found","High"
"swissprot: Phosphatidate cytidylyltransferase 4, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:7:9742170:9745758:1 gene:gene-LSAT_7X9240 transcript:rna-gnl|WGS:NBSK|LSAT_7X9240_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",2,1,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Not Found","Not Found","Peak Found"
"swissprot: Beta-glucosidase 11 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:9:27190193:27198096:-1 gene:gene-LSAT_9X23861 transcript:rna-gnl|WGS:NBSK|LSAT_9X23861_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",2,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Not Found"
"original description: pep primary_assembly:Lsat_Salinas_v7:6:34601251:34602135:1 gene:gene-LSAT_6X25081 transcript:rna-gnl|WGS:NBSK|LSAT_6X25081_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",9,1,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","Not Found","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"original description: pep primary_assembly:Lsat_Salinas_v7:8:175207547:175211173:-1 gene:gene-LSAT_8X113781 transcript:rna-gnl|WGS:NBSK|LSAT_8X113781_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",14,1,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","High","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Not Found","Peak Found","Not Found","High","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"swissprot: Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:1:3118229:3120935:1 gene:gene-LSAT_1X2520 transcript:rna-gnl|WGS:NBSK|LSAT_1X2520_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic [Source:Projected from Arabidopsis thaliana (AT3G21110) UniProtKB/Swiss-Prot;Acc:P38025]",3,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found"
"swissprot: Vacuolar protein-sorting-associated protein 11 homolog OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:9:140590894:140594771:-1 gene:gene-LSAT_9X90020 transcript:rna-gnl|WGS:NBSK|LSAT_9X90020_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",1,1,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Not Found","Peak Found","Not Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"swissprot: EP1-like glycoprotein 2 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:8:40879128:40880240:1 gene:gene-LSAT_8X31781 transcript:rna-gnl|WGS:NBSK|LSAT_8X31781_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",2,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found"
"swissprot: Early nodulin-like protein 17 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:2:166143259:166145109:-1 gene:gene-LSAT_2X88200 transcript:rna-gnl|WGS:NBSK|LSAT_2X88200_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",5,1,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found"
